WIG20		MACD		EMA11		EMA25		SIGNAL
2497		10.4405		2511.52		2501.08		12.7789
2531		11.505		2515.62		2504.12		12.4912
2471		5.40941		2506.9		2501.49		10.6356
2456		-1.26141		2496.62		2497.88		7.40826
2391		-13.1964		2475.76		2488.96		1.72031
2387		-22.5726		2457.75		2480.32		-5.09582
2377		-30.7339		2440.64		2471.38		-12.4353
2359		-38.4572		2422.96		2461.41		-20.0104
2353		-44.1756		2407.25		2451.43		-27.235
2381		-45.0405		2399.86		2444.9		-32.8124
2376		-45.1121		2393		2438.11		-37.0363
2376		-44.5928		2387.25		2431.84		-39.9402
2371		-43.6016		2382.03		2425.63		-41.7149
2382		-41.5965		2379.34		2420.94		-42.2616
2408		-35.4606		2383.42		2418.88		-40.8229
2425		-28.1725		2390.42		2418.6		-37.6084
2388		-25.0102		2389.93		2414.94		-34.1859
2380		-22.7716		2388		2410.77		-30.8979
2365		-22.2876		2383.6		2405.89		-28.2836
2366		-20.8789		2380.53		2401.41		-25.9406
2386		-16.7556		2382.12		2398.87		-23.0794
2374		-14.8893		2380.51		2395.4		-20.4492
2360		-14.4311		2376.5		2390.93		-18.3933
2350		-14.6125		2371.21		2385.82		-17.025
2360		-13.1704		2368.98		2382.15		-15.7569
2341		-13.8109		2363.15		2376.96		-15.0431
2334		-15.32		2356.52		2371.84		-14.9611
2343		-15.0023		2352.59		2367.59		-14.8235
2358		-12.6225		2353.03		2365.66		-14.1057
2374		-8.7382		2356.74		2365.48		-12.6011
2360		-7.4764		2357.24		2364.72		-11.1695
2372		-5.11258		2360.03		2365.14		-9.46614
2350		-6.09321		2357.56		2363.65		-8.45001
2350		-6.71406		2355.75		2362.47		-7.88499
2341		-7.89679		2352.73		2360.63		-7.76791
2297		-13.0241		2341.64		2354.67		-9.03537
2300		-16.5156		2332.99		2349.51		-10.9362
2295		-19.0527		2325.26		2344.31		-13.0958
2300		-19.9778		2320.06		2340.03		-15.0444
2307		-19.5809		2317.03		2336.62		-16.4242
2294		-20.3322		2311.7		2332.03		-17.7101
2323		-17.4173		2312.83		2330.25		-17.8667
2299		-17.6094		2309.22		2326.83		-18.0235
2329		-14.4328		2312.04		2326.48		-17.2585
2327		-11.7763		2314.35		2326.13		-15.8626
2345		-7.58632		2319.83		2327.42		-13.6123
2337		-4.79698		2322.88		2327.68		-11.1192
2304		-5.48643		2319.58		2325.06		-9.41687
2308		-5.54477		2317.61		2323.16		-8.16398
2319		-4.20818		2318.3		2322.51		-6.84779
2302		-4.8955		2315.37		2320.27		-6.10559
2334		-2.04923		2319.24		2321.29		-4.77571
2304		-2.94745		2316.65		2319.6		-4.08555
2295		-4.9235		2312.21		2317.13		-4.15596
2302		-4.93658		2310.41		2315.35		-4.29734
2295		-5.90534		2307		2312.9		-4.72183
2330		-2.72665		2311.23		2313.96		-4.16703
2340		0.661395		2316.37		2315.71		-2.83397
2308		-0.331349		2314.33		2314.66		-2.12963
2303		-0.990554		2312.25		2313.24		-1.76561
2276		-4.50589		2305.08		2309.59		-2.50054
2303		-4.70738		2304.42		2309.13		-3.08797
2278		-7.22477		2299.18		2306.41		-4.16887
2281		-9.30641		2294.92		2304.23		-5.54194
2292		-8.99272		2294.18		2303.17		-6.4673
2323		-5.00051		2299.92		2304.92		-6.14675
2326		-1.84436		2305.09		2306.94		-5.12201
2358		4.46096		2315.85		2311.39		-2.629
2324		4.56803		2317.22		2312.65		-0.716934
2307		2.79598		2314.77		2311.97		0.309487
2343		5.91066		2320.53		2314.62		1.92527
2328		6.82347		2322.34		2315.52		3.43493
2295		4.26973		2317.71		2313.44		3.91916
2302		2.33132		2314.84		2312.5		3.75202
2340		5.49104		2320.53		2315.03		4.3997
2377		11.9285		2332.52		2320.59		6.56142
2368		15.2711		2340.34		2325.07		8.95823
2364		16.8858		2345.38		2328.49		11.1901
2380		19.2456		2352.64		2333.4		13.5378
2413		23.6207		2364.61		2340.98		16.418
2374		22.8424		2367.21		2344.37		18.3492
2382		22.9699		2371.25		2348.28		19.8839
2381		22.2812		2373.71		2351.42		20.8881
2392		22.9746		2378.18		2355.21		21.7646
2376		21.668		2379.24		2357.57		21.9381
2382		20.8372		2381.18		2360.34		21.7758
2383		19.0225		2382.29		2363.26		21.1308
2353		13.5706		2376.53		2362.96		19.1256
2296		2.80496		2360.59		2357.79		14.623
2264		-8.87668		2341.23		2350.11		8.10433
2285		-15.5278		2329.3		2344.83		1.41498
2274		-21.909		2316.75		2338.66		-5.31285
2237		-29.8193		2299.78		2329.6		-12.5109
2233		-35.6206		2284.96		2320.58		-19.451
2214		-41.862		2269.06		2310.92		-26.3262
2221		-45.5918		2257.25		2302.84		-32.454
2244		-44.6432		2252.46		2297.11		-36.6827
2248		-43.1087		2249.24		2292.35		-39.221
2254		-41.0713		2247.79		2288.86		-40.337
2253		-38.5465		2246.94		2285.48		-40.3565
2239		-36.2519		2244.47		2280.72		-39.6215
2219		-35.1211		2239.03		2274.15		-38.604
2175		-38.8138		2225.41		2264.22		-38.7212
2209		-36.9462		2221.26		2258.2		-38.1777
2214		-33.4273		2219.52		2252.95		-36.7432
2225		-28.3963		2220.38		2248.77		-34.3268
2201		-26.5431		2216.62		2243.16		-32.0447
2234		-20.8866		2220.01		2240.9		-28.8455
2235		-16.3426		2222.58		2238.92		-25.2692
2223		-13.6948		2222.2		2235.9		-21.9178
2252		-8.31977		2227.59		2235.91		-17.9743
2281		-0.668266		2237.8		2238.47		-12.8737
2296		7.23502		2249.41		2242.17		-6.94983
2283		11.9508		2256.67		2244.71		-1.30372
2229		9.84128		2252.61		2242.77		2.25856
2238		8.35692		2250.47		2242.12		4.49145
2242		7.77362		2249.44		2241.66		5.89365
2200		2.43368		2240		2237.56		5.40972
2189		-2.67313		2230.51		2233.18		3.6127
2213		-4.41293		2226.95		2231.36		1.68558
2200		-7.28833		2221.42		2228.71		-0.692252
2217		-7.22177		2220.51		2227.73		-2.61803
2232		-5.7095		2222.24		2227.95		-3.74931
2254		-2.56624		2227.53		2230.09		-3.70536
2253		-0.530164		2231.39		2231.92		-3.09192
2191		-5.61308		2222.39		2228		-3.99389
2210		-6.46729		2219.79		2226.26		-4.79289
2212		-7.13866		2217.91		2225.05		-5.46996
2256		-3.27477		2225.09		2228.36		-4.89806
2251		0.108497		2230.72		2230.61		-3.49631
2248		2.5691		2234.92		2232.35		-1.78125
2192		-2.04285		2226.74		2228.78		-1.77223
2188		-5.90504		2219.48		2225.38		-2.8732
2215		-5.72825		2218.63		2224.36		-3.69246
2184		-9.13173		2211.47		2220.6		-5.12368
2173		-13.2577		2203.02		2216.28		-7.29499
2179		-15.2186		2197.32		2212.54		-9.43987
2154		-17.7646		2188.78		2206.54		-11.8151
2132		-21.832		2177.05		2198.89		-14.7646
2083		-29.914		2157.63		2187.55		-19.2112
2086		-36.393		2141.55		2177.95		-24.2038
2089		-40.2051		2129.08		2169.29		-28.9002
2076		-43.7705		2116.34		2160.11		-33.3899
2065		-46.3844		2104.72		2151.11		-37.3946
2079		-46.1155		2098.09		2144.2		-40.2416
2056		-47.9475		2087.57		2135.52		-42.8323
2051		-48.687		2078.53		2127.22		-44.9236
2084		-44.461		2077.93		2122.39		-45.2672
2080		-40.9021		2076.52		2117.43		-44.3989
2079		-36.9175		2075.63		2112.54		-42.5392
2013		-39.9996		2062.1		2102.1		-41.9001
1991		-43.6259		2047.52		2091.14		-42.3286
2006		-43.693		2038.53		2082.22		-42.6151
2015		-41.8879		2032.92		2074.81		-42.3475
2005		-40.0621		2026.57		2066.63		-41.6161
2015		-36.4948		2023.57		2060.06		-40.0884
2025		-32.0953		2022.86		2054.95		-37.8391
2015		-29.2353		2020.69		2049.93		-35.4514
2022		-25.5689		2020.41		2045.98		-32.7504
2030		-21.6054		2021.18		2042.79		-29.5909
2023		-19.0525		2020.49		2039.54		-26.4576
2009		-18.2614		2017.14		2035.4		-23.8924
1998		-17.1481		2013.39		2030.54		-21.7042
1999		-15.4955		2010.92		2026.41		-19.6535
1989		-15.3151		2006.63		2021.94		-18.1391
1956		-18.9928		1996.36		2015.35		-18.0866
1947		-22.1054		1986.34		2008.45		-18.9466
1946		-24.2073		1977.77		2001.97		-20.2341
1932		-27.1145		1967.77		1994.89		-22.066
1936		-28.2676		1960.58		1988.84		-23.8034
1933		-28.9052		1953.96		1982.87		-25.2949
1943		-28.1052		1950.41		1978.51		-26.2198
1927		-28.6843		1944.42		1973.11		-27.1036
1940		-26.5922		1942.38		1968.97		-27.2046
1924		-26.0543		1937.71		1963.76		-27.0604
1918		-25.7687		1932.67		1958.44		-26.8118
1911		-26.2615		1927.33		1953.59		-26.7159
1934		-23.2874		1928.14		1951.43		-25.7811
1919		-21.9596		1925.98		1947.94		-24.6977
1882		-24.4566		1916.83		1941.29		-24.5472
1899		-23.8133		1913		1936.81		-24.2766
1921		-20.3914		1914.18		1934.57		-23.137
1889		-20.7094		1908.81		1929.52		-22.4107
1876		-22.1615		1901.64		1923.8		-22.2694
1845		-25.8006		1889.87		1915.67		-23.1528
1783		-34.8876		1867.61		1902.5		-26.2616
1783		-40.7665		1849.7		1890.46		-30.2426
1798		-42.7455		1838.14		1880.88		-33.7901
1780		-45.3476		1825.21		1870.56		-37.1035
1776		-47.2665		1813.42		1860.69		-40.1202
1796		-45.4759		1808.04		1853.52		-41.9682
1807		-41.7527		1806.51		1848.26		-42.3414
1796		-39.7734		1802.74		1842.52		-42.0569
1775		-40.274		1795.07		1835.35		-41.9049
1756		-41.6028		1785.58		1827.18		-41.9657
1725		-44.9767		1771.85		1816.83		-42.8039
1742		-44.2956		1764.57		1808.87		-43.2083
1758		-39.9583		1762.93		1802.88		-42.2864
1754		-36.4038		1760.78		1797.19		-40.5953
1753		-33.1602		1758.56		1791.72		-38.4866
1796		-25.0844		1765.65		1790.74		-34.7978
1790		-19.024		1770.33		1789.36		-30.4332
1783		-15.123		1772.4		1787.52		-26.0952
1761		-14.113		1769.5		1783.61		-22.5417
1758		-13.1741		1766.73		1779.9		-19.5544
1767		-11.0476		1766.63		1777.68		-16.7529
1765		-8.78324		1766.5		1775.28		-14.1278
1814		-0.537824		1776.73		1777.27		-10.0024
1817		5.69762		1785.4		1779.71		-5.28879
1795		7.72131		1787.81		1780.09		-1.37047
1779		7.33783		1786.66		1779.32		1.34162
1785		7.13637		1786.93		1779.8		3.24206
